from,to,communication_scope,exposure_risk_level,risk_signal_group,weight,interaction_intensity
intern_agent,pr,Private,Low Exposure,Low Signal,1,Low Interaction
intern_agent,pr,Private,Low Exposure,Moderate Signal,7,Moderate Interaction
judge_agent,legal,Private,Low Exposure,High Signal,1,Low Interaction
legal_agent,judge,Private,Low Exposure,High Signal,1,Low Interaction
legal_agent,platform_trust,Private,Low Exposure,High Signal,3,Low Interaction
legal_agent,platform_trust,Private,Low Exposure,Low Signal,4,Low Interaction
legal_agent,platform_trust,Private,Low Exposure,Moderate Signal,2,Low Interaction
legal_agent,platform_trust,Private,Low Exposure,No Signal,2,Low Interaction
legal_agent,platform_trust,Side-channel,Moderate Exposure,High Signal,30,High Interaction
legal_agent,platform_trust,Side-channel,Moderate Exposure,Low Signal,1,Low Interaction
legal_agent,platform_trust,Side-channel,Moderate Exposure,Moderate Signal,7,Moderate Interaction
legal_agent,platform_trust,Side-channel,Moderate Exposure,No Signal,2,Low Interaction
legal_agent,pr,Private,Low Exposure,High Signal,6,Moderate Interaction
legal_agent,pr,Private,Low Exposure,Low Signal,2,Low Interaction
legal_agent,pr,Private,Low Exposure,Moderate Signal,14,High Interaction
legal_agent,pr,Side-channel,Moderate Exposure,High Signal,30,High Interaction
legal_agent,pr,Side-channel,Moderate Exposure,Low Signal,2,Low Interaction
legal_agent,pr,Side-channel,Moderate Exposure,Moderate Signal,8,Moderate Interaction
legal_agent,pr,Side-channel,Moderate Exposure,No Signal,2,Low Interaction
legal_agent,pr_intern,Private,Low Exposure,Low Signal,1,Low Interaction
legal_agent,pr_intern,Side-channel,Moderate Exposure,High Signal,4,Low Interaction
legal_agent,pr_intern,Side-channel,Moderate Exposure,Moderate Signal,2,Low Interaction
legal_agent,social_manager,Private,Low Exposure,High Signal,5,Moderate Interaction
legal_agent,social_manager,Private,Low Exposure,Low Signal,1,Low Interaction
legal_agent,social_manager,Private,Low Exposure,Moderate Signal,3,Low Interaction
legal_agent,social_manager,Side-channel,Moderate Exposure,High Signal,30,High Interaction
legal_agent,social_manager,Side-channel,Moderate Exposure,Low Signal,2,Low Interaction
legal_agent,social_manager,Side-channel,Moderate Exposure,Moderate Signal,9,Moderate Interaction
legal_agent,social_manager,Side-channel,Moderate Exposure,No Signal,2,Low Interaction
pr_agent,intern,Private,Low Exposure,High Signal,1,Low Interaction
pr_agent,intern,Private,Low Exposure,Low Signal,1,Low Interaction
pr_agent,legal,Side-channel,Moderate Exposure,High Signal,5,Moderate Interaction
pr_agent,legal,Side-channel,Moderate Exposure,Moderate Signal,2,Low Interaction
pr_agent,platform_trust,Side-channel,Moderate Exposure,High Signal,5,Moderate Interaction
pr_agent,platform_trust,Side-channel,Moderate Exposure,Moderate Signal,2,Low Interaction
pr_agent,pr,Private,Low Exposure,Low Signal,2,Low Interaction
pr_agent,pr,Private,Low Exposure,Moderate Signal,3,Low Interaction
pr_agent,social_manager,Side-channel,Moderate Exposure,High Signal,5,Moderate Interaction
pr_agent,social_manager,Side-channel,Moderate Exposure,Moderate Signal,2,Low Interaction
pr_intern_agent,intern,Private,Low Exposure,High Signal,1,Low Interaction
pr_intern_agent,intern,Private,Low Exposure,Low Signal,1,Low Interaction
pr_intern_agent,intern,Private,Low Exposure,Moderate Signal,1,Low Interaction
pr_intern_agent,legal,Private,Low Exposure,Low Signal,1,Low Interaction
pr_intern_agent,legal,Private,Low Exposure,Moderate Signal,5,Moderate Interaction
pr_intern_agent,platform_trust,Private,Low Exposure,Low Signal,1,Low Interaction
pr_intern_agent,platform_trust,Private,Low Exposure,Moderate Signal,1,Low Interaction
pr_intern_agent,pr,Private,Low Exposure,High Signal,3,Low Interaction
pr_intern_agent,pr,Private,Low Exposure,Low Signal,2,Low Interaction
pr_intern_agent,pr,Private,Low Exposure,Moderate Signal,2,Low Interaction
pr_intern_agent,social_manager,Private,Low Exposure,High Signal,4,Low Interaction
pr_intern_agent,social_manager,Private,Low Exposure,Moderate Signal,1,Low Interaction
quality_agent,legal,Side-channel,Moderate Exposure,High Signal,7,Moderate Interaction
quality_agent,legal,Side-channel,Moderate Exposure,Moderate Signal,3,Low Interaction
quality_agent,pr,Private,Low Exposure,High Signal,3,Low Interaction
quality_agent,pr,Private,Low Exposure,Moderate Signal,3,Low Interaction
quality_agent,pr,Side-channel,Moderate Exposure,High Signal,7,Moderate Interaction
quality_agent,pr,Side-channel,Moderate Exposure,Moderate Signal,3,Low Interaction
quality_agent,pr_intern,Private,Low Exposure,High Signal,1,Low Interaction
quality_agent,pr_intern,Private,Low Exposure,Low Signal,1,Low Interaction
quality_agent,pr_intern,Private,Low Exposure,Moderate Signal,3,Low Interaction
quality_agent,pr_intern,Side-channel,Moderate Exposure,High Signal,1,Low Interaction
quality_agent,pr_intern,Side-channel,Moderate Exposure,Moderate Signal,1,Low Interaction
quality_agent,social_manager,Private,Low Exposure,Low Signal,1,Low Interaction
quality_agent,social_manager,Side-channel,Moderate Exposure,High Signal,8,Moderate Interaction
quality_agent,social_manager,Side-channel,Moderate Exposure,Moderate Signal,4,Low Interaction
social_media_agent,legal,Private,Low Exposure,High Signal,7,Moderate Interaction
social_media_agent,legal,Side-channel,Moderate Exposure,High Signal,31,High Interaction
social_media_agent,legal,Side-channel,Moderate Exposure,Moderate Signal,1,Low Interaction
social_media_agent,platform_trust,Private,Low Exposure,Low Signal,2,Low Interaction
social_media_agent,platform_trust,Private,Low Exposure,Moderate Signal,1,Low Interaction
social_media_agent,platform_trust,Side-channel,Moderate Exposure,High Signal,33,High Interaction
social_media_agent,platform_trust,Side-channel,Moderate Exposure,Moderate Signal,1,Low Interaction
social_media_agent,pr,Private,Low Exposure,High Signal,7,Moderate Interaction
social_media_agent,pr,Private,Low Exposure,Low Signal,5,Moderate Interaction
social_media_agent,pr,Private,Low Exposure,Moderate Signal,9,Moderate Interaction
